"id","category_id","name","description","tags","price","is_active","created_at","updated_at","deleted_at"
1550,5011,Puma Cat Trainer-WBL Football,Unisex Footballs Fall,"Sporting Goods,Sports Equipment,Sports",51146.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1551,5011,Puma Power Cat Trainer-OB Football,Unisex Footballs Fall,"Sporting Goods,Sports Equipment,Sports",13337.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1552,5011,Puma Power Cat Trainer-WR Football,Unisex Footballs Fall,"Sporting Goods,Sports Equipment,Sports",81035.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1553,5011,Puma Power Cat Hard Ground Football,Unisex Footballs Fall,"Sporting Goods,Sports Equipment,Sports",84898.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1554,7,Quechua  Blue Sipper,Unisex Water Bottle Fall,"Accessories,Water Bottle,Casual",80964.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1558,7,Quechua Easy-to-Carry Blue Water Bottle,Unisex Water Bottle Fall,"Accessories,Water Bottle,Sports",34389.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1580,1123,Nabaiji Women Cross-back Swimsuit,Women Swimwear Fall,"Apparel,Bottomwear,Sports",67293.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1581,7115,Nabaiji Unisex Silicone Swimming Cap,Unisex Caps Summer,"Accessories,Headwear,Sports",93228.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1596,7,Quechua Easy-to-Carry Pink Sipper,Men Water Bottle Fall,"Accessories,Water Bottle,Sports",80340.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1626,5011,Kipsta F300 Football Size 5 Football,Unisex Footballs Summer,"Sporting Goods,Sports Equipment,Sports",61115.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1638,1123,Nabaiji Swimming Goggles Blue Black,Unisex Swimwear Fall,"Apparel,Bottomwear,Sports",47370.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1808,7,Quechua Aluminium Print Water Bottle,Unisex Water Bottle Fall,"Accessories,Water Bottle,Sports",59040.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1943,3013,Domyos Grey Duffle Duffle Bag,Unisex Duffel Bag Summer,"Accessories,Bags,Casual",57338.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
1982,1111,Puma Women's Island Shorts Purple,Women Shorts Fall,"Apparel,Bottomwear,Casual",65824.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
2149,1010,Basics Men Orange & White Polo T-shirt,Men Tshirts Spring,"Apparel,Topwear,Casual",89185.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
2354,5010,ADIDAS Black Bounce Unisex Basketball,Unisex Basketballs Winter,"Sporting Goods,Sports Equipment,Sports",74019.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
2355,5011,ADIDAS Red Bull Trophy Soccer Unisex Football,Unisex Footballs Fall,"Sporting Goods,Sports Equipment,Sports",65487.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
2356,5010,ADIDAS Black & White Unisex Basketball,Unisex Basketballs Winter,"Sporting Goods,Sports Equipment,Sports",51457.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
2357,7,ADIDAS White Water Sipper,Men Water Bottle Fall,"Accessories,Accessories,Sports",58809.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
2805,220,iD Men Casual Leather/Felt Charcoal Sandal,Men Sandals Fall,"Footwear,Sandal,Casual",96658.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
2954,1115,DUSG Women Uttarkashi Organic Endive Capri,Women Capris Fall,"Apparel,Bottomwear,Casual",61272.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
3175,2011,Nike Men's Air Compel Black Shoe,Men Sports Shoes Fall,"Footwear,Shoes,Sports",40693.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
3464,1123,ADIDAS Kid's Light Aqua Swimming Cap,Unisex Swimwear Winter,"Apparel,Apparel Set,Sports",76982.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
3469,7126,ADIDAS Unisex Black White Headband,Unisex Headband Fall,"Accessories,Headwear,Sports",22481.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
3472,7,ADIDAS Phantom Black Sipper,Men Water Bottle Fall,"Accessories,Accessories,Casual",23604.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
4010,5010,Spalding 150 SZ Brown Basketball,Unisex Basketballs Summer,"Sporting Goods,Sports Equipment,Sports",41522.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
4012,5010,Spalding 508z Black Basketball,Unisex Basketballs Summer,"Sporting Goods,Sports Equipment,Sports",50546.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
4013,5010,Spalding  177z NBA School Brown Basketball,Unisex Basketballs Summer,"Sporting Goods,Sports Equipment,Casual",11131.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
4108,220,Fila Men Aruba Navy Grey Sandal,Men Sandals Summer,"Footwear,Sandal,Casual",66413.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
4256,1010,Inkfruit Men Grey Melange Printed T-shirt,Men Tshirts Summer,"Apparel,Topwear,Casual",55348.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
4284,2012,Rockport Men Arratoon Black Shoe,Men Formal Shoes Summer,"Footwear,Shoes,Formal",75298.00,1,"2026-02-23 16:20:41","2026-02-23 16:20:41",
